% Model:              Liquid-sperm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 19 2024, 12:31
% Dimension:          2
% Nodes:              1154
% Expressions:        2
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)
-2.0E-4                   -6.929128652456605E-5    0.14                     6.497962091021645E-16
-1.9999999999999998E-4    -7.221120784031401E-5    0.14                     -1.844819216415478E-15
-1.9564520234157797E-4    -7.022891387666211E-5    0.13997007408409143      0.03395376220597606
-2.0000000000000004E-4    6.967972802337731E-5     0.14                     -3.050491654853034E-16
-1.9441249823686424E-4    7.051926279000497E-5     0.1363580116489025       -0.038108669627267035
-2.0E-4                   7.211198863294088E-5     0.14                     -7.800783330492208E-16
-1.9302897526513678E-4    -6.672744455628152E-5    0.14668598603271862      0.0457769465964169
-2.0E-4                   -6.389894298321608E-5    0.14                     0
-2.0E-4                   6.568554423129609E-5     0.14                     4.750291675639174E-16
-1.9231046526272744E-4    6.682695189583227E-5     0.14653860300462038      -0.047113198098658
-2.0E-4                   -5.7924696274466045E-5   0.14                     0
-1.919932113453527E-4     -6.0143559708062046E-5   0.14960223774421644      0.03929009227923997
-2.0E-4                   5.8980781884755937E-5    0.14                     1.7630336216699473E-16
-1.9234162462613609E-4    6.132682734449748E-5     0.14838710315711998      -0.03998758161464929
-2.0E-4                   -4.879114253275954E-5    0.14                     1.384099228213662E-16
-1.9086786302888734E-4    -5.1112634418465097E-5   0.1473894942218165       0.0283208095404304
-2.0000000000000004E-4    -3.5082921596184174E-5   0.14                     4.3451946602684467E-17
-1.90425626776226E-4      -3.8550506769962605E-5   0.14398712944356992      0.01560317313874912
-1.896237247987029E-4     -2.1440384188875267E-5   0.14196083213996713      0.006831182061248141
-2.0E-4                   -1.5101937613541613E-5   0.14                     -9.495797621868173E-17
-1.8959826114039546E-4    -6.607333093555663E-6    0.14142667933573153      0.0018934429268544339
-2.0E-4                   1.3552527156068805E-20   0.14                     0
-1.8965416029607238E-4    6.596342991564512E-6     0.1414392363801457       -0.0018057200036873512
-2.0E-4                   1.5084753848020001E-5    0.14                     0
-1.8981159159349895E-4    2.150119590571927E-5     0.14206972981911406      -0.006667796405712858
-2.0E-4                   3.093563447123915E-5     0.14                     -1.0977974359997078E-16
-1.9049341150195268E-4    3.7635204896225666E-5    0.14364342515344816      -0.014841269500548105
-1.9999999999999998E-4    4.8218912238433154E-5    0.14                     6.652361856702394E-17
-1.9147859016456096E-4    5.170969649213857E-5     0.1466803425366555       -0.02734714920741167
2.0E-4                    6.925397717002108E-5     0.03476338960839984      0.013155498073197979
2.0E-4                    7.219790683135302E-5     0.02028547438676426      0.005623600186846521
1.9561865727919805E-4     7.012276345806415E-5     0.023967593164955007     0.003209900500373146
1.931115268969158E-4      6.682367567938134E-5     0.03961956413853168      0.0013202352797213692
