x;y;z;Shear rate
-0.00100372338001394;-2.577752720049476E-5;4.9999999999999996E-5;4.677173288355978
-0.0010043300223451365;-2.499471749100227E-5;5.0E-5;3.9461416059440997
-0.00100372338001394;-2.4279590098992036E-5;5.0E-5;3.4385434124657643
-0.00100372338001394;-3.942619882908571E-5;5.0E-5;1.8469950264956267
-0.0010086384715788394;-3.532209659131476E-5;5.0E-5;1.6160318563501346
-0.00100372338001394;-2.73739080947022E-5;5.000000000000001E-5;2.705974104379584
-0.0010037233800139398;-4.829853645317922E-15;5.0E-5;3.3871458706185833
-0.0010166821927243565;-1.2118576963653279E-5;5.0E-5;3.1292795874791253
-0.0010158025007180297;-2.6768843016505386E-15;5.0E-5;2.3408700490964263
-0.001014641133605818;-1.3942480649861417E-5;5.0E-5;2.8275849227697036
-0.00100372338001394;-1.2248266684898593E-5;5.0E-5;2.60669726643944
-0.0010162724834543912;-1.4385525225424327E-5;5.0E-5;3.587850445343505
-0.0010264295515558792;-3.472000477816208E-6;5.000000000000001E-5;3.6016935297146033
-0.0010171332059291677;-1.3923876226470176E-5;5.0E-5;4.163426335769951
-0.0010291281108226022;-3.072023611966648E-7;5.0E-5;4.512966924905748
-0.0010287989024560145;-2.717862390279358E-15;5.0E-5;3.9751709179784904
-0.001029585037106798;-6.117241429949339E-7;5.0E-5;3.660162475426536
-0.0010294907230597957;-2.720043723742923E-15;5.0E-5;4.911873982397762
-0.0010132774762754253;-4.676888586906501E-5;5.0E-5;2.1262641678992193
-0.001014264365187255;-4.400598057989778E-5;5.000000000000001E-5;1.996958544566499
-0.00100372338001394;-5.099610120899083E-5;4.9999999999999996E-5;2.613063365521234
-0.00100372338001394;-5.1960262221723173E-5;5.0E-5;3.597556823054067
-0.0010064220501505078;-5.1000246410761776E-5;5.0E-5;2.7038507020547393
-0.00101543233951316;-4.804362822256479E-5;5.0E-5;2.576210414740977
-0.0010124429886780451;-6.0187320873011584E-5;5.0E-5;3.431277277822899
-0.001012619129913818;-5.974312533906156E-5;5.0E-5;3.983375135164165
-0.001009648247074374;-5.712077345123639E-5;4.9999999999999996E-5;3.227808340778759
-0.00101298230990651;-5.9570021126204004E-5;5.0E-5;3.4029993288287526
-0.00100372338001394;-5.2591186600525476E-5;4.9999999999999996E-5;2.95216266074333
-0.00100372338001394;-6.422721975358891E-5;5.0E-5;2.1056511401065436
-0.0010144783844693002;-3.1597471430006146E-5;5.0E-5;1.323057257710219
-0.0010052012018493563;-2.6268067419548917E-5;5.000000000000001E-5;3.149885344599145
-0.0010301375435206607;-2.7220831702533207E-15;5.0E-5;3.158016142323362
-0.0010340466249154035;-1.1536549537815433E-5;5.0E-5;3.1506704617173558
-0.0010373243249463219;-8.001529652795257E-6;5.0E-5;2.386910317814938
-0.0010445104876497845;-2.7674015430040558E-15;4.9999999999999996E-5;2.2770178474082585
-0.001007804452165228;-6.737004365849534E-5;5.0E-5;2.372302213198096
-0.00100372338001394;-6.985550143959426E-5;5.0E-5;1.517791781267294
-0.0010129135631369096;-5.999620306623864E-5;5.0E-5;4.128882550079956
-0.001011153237884533;-7.351303143968725E-5;5.0E-5;2.313821709342972
-0.0010095864235674739;-7.997706582053309E-5;5.0E-5;2.322687701869898
-0.001016274111501269;-7.745728622143863E-5;4.9999999999999996E-5;2.773805517697856
-0.00100372338001394;-8.268866402079498E-5;4.9999999999999996E-5;3.1301851422003217
-0.00100372338001394;-8.758885183659111E-5;5.000000000000001E-5;1.963834592541696
-0.00100372338001394;-7.928931215834731E-5;5.0E-5;1.9622055783601602
-0.0010135873533162194;-9.482589022650705E-5;5.0E-5;2.048244603844476
-0.0010134572115119054;-9.193919766067381E-5;4.9999999999999996E-5;1.822872108864362
-0.00100372338001394;-9.447178706950343E-5;5.0E-5;1.494245814566686
-0.00100372338001394;-1.023940872162337E-4;5.0E-5;1.544155519959924
-0.0010165414478715907;-8.835961503180341E-5;5.0E-5;2.352484996298735
-0.0010164549088933449;-9.329680047090643E-5;5.0E-5;2.40720402165187
-0.001006754485039786;-1.0526137111417729E-4;5.0E-5;2.0414427988727413
-0.00100372338001394;-1.0676338697613685E-4;4.9999999999999996E-5;1.5016013542323001
-0.00101214969099089;-1.1354779143342103E-4;4.9999999999999996E-5;1.94777593108508
-0.00100372338001394;-1.1539788907904397E-4;5.0E-5;1.9309779204721333
-0.0010123584211629468;-1.1723013408822189E-4;5.0E-5;2.6132688461590194
-0.0010152777836208112;-1.1488682168626568E-4;5.0E-5;3.231627095925632
-0.00100372338001394;-1.256413760207348E-4;5.0E-5;2.0888116256631744
-0.00100372338001394;-1.1957094221405056E-4;4.9999999999999996E-5;2.555738776638815
-0.0010440135024378109;-1.2013204028700122E-5;5.0E-5;1.8449961534781782
-0.001049905740744554;-1.0044810466756796E-5;5.0E-5;2.1013515509395786
-0.0010577956102402275;-7.643050338554535E-7;5.0E-5;2.7786701860808662
-0.0010579507026814681;-2.8097789897668035E-15;5.0E-5;3.2062445328033315
-0.0010511718442530156;-1.3470509212458627E-5;5.0E-5;2.1808236214276606
-0.0010582059055861779;-2.81058365304656E-15;5.0E-5;4.0146462867108035
-0.0010118859755030047;-1.346253578071289E-4;5.0E-5;1.8701912914730474
-0.00100372338001394;-1.3257737259322698E-4;5.000000000000001E-5;2.4294941882160743
-0.00100372338001394;-1.3701421297257995E-4;5.0E-5;1.4467628562398673
-0.001015071750485292;-1.2580399145562855E-4;5.0E-5;2.17653829681392
-0.00100372338001394;-1.4371694466144827E-4;5.000000000000001E-5;0.7725431155367701
-0.0010114998263145711;-1.3833031398339287E-4;5.0E-5;1.7157803672380272
-0.0010146087647852173;-1.3635652027181773E-4;5.0E-5;2.5620244589959364
-0.0010132698180714136;-1.5416534228549742E-4;5.0E-5;1.838067358597987
-0.00100372338001394;-1.4842865116657466E-4;5.0E-5;1.4727373567302553
-0.00100372338001394;-1.5434393528681787E-4;5.0E-5;1.7222146073014386
-0.0010105446554640825;-1.4933394696615596E-4;4.9999999999999996E-5;1.8253313469810108
-0.00100372338001394;-1.633007807925525E-4;5.0E-5;1.747816081384766
-0.0010164350956750198;-1.506728613213168E-4;5.0E-5;2.890658355934203
-0.0010050863953742577;-1.6348357713406284E-4;5.0E-5;2.3335701526763772
-0.00100372338001394;-1.6426417778976326E-4;5.0E-5;2.6130480727803205
-0.0010163894850073992;-1.5672299700466E-4;4.9999999999999996E-5;2.603182733350345
-0.0010582733587392583;-2.1447254253304143E-7;5.0E-5;3.1446972787972887
-0.0010584439352510965;-2.8113341685278423E-15;5.0E-5;2.5654821487064026
-0.0010649203277390922;-1.3000767312768555E-5;5.0E-5;2.5720061246418147
-0.0010670522741346722;-6.295913099553193E-6;5.0E-5;1.899427464026699
-0.0010702296535029568;-2.8484949317002743E-15;5.0E-5;1.1986752921618493
